date_d,date_depart,ship,port,country,produit,volume
1942-10-18,1942-06-18,9,Oran,ALGERIA,2129,7
1942-10-18,1942-06-18,9,Oran,ALGERIA,3712,25
1915-10-08,1915-08-08,11,brest,FRANCE,3987,8
1915-10-08,1915-08-08,11,brest,FRANCE,1242,11
1915-10-08,1915-08-08,11,brest,FRANCE,2104,4
1915-10-08,1915-08-08,11,brest,FRANCE,1583,253
1915-10-08,1915-08-08,11,brest,FRANCE,3375,1
1949-11-13,1949-10-13,17,Annaba,ALGERIA,1596,1
1949-11-13,1949-10-13,17,Annaba,ALGERIA,2819,34
1949-11-13,1949-10-13,17,Annaba,ALGERIA,3636,1413
1949-11-13,1949-10-13,17,Annaba,ALGERIA,3384,1
1949-11-13,1949-10-13,17,Annaba,ALGERIA,1552,5
1949-11-13,1949-10-13,17,Annaba,ALGERIA,115,2
1961-04-12,1961-03-12,20,Los Angeles,UNITED STATE OF AMERICA,1527,98
1961-04-12,1961-03-12,20,Los Angeles,UNITED STATE OF AMERICA,3190,1774
1908-04-11,1908-03-11,20,marseille,FRANCE,1585,48
1908-04-11,1908-03-11,20,marseille,FRANCE,3442,287
1908-04-11,1908-03-11,20,marseille,FRANCE,3308,512
1908-04-11,1908-03-11,20,marseille,FRANCE,2816,247
1908-04-11,1908-03-11,20,marseille,FRANCE,1877,2
1908-04-11,1908-03-11,20,marseille,FRANCE,733,95
1908-05-11,1908-03-11,20,marseille,FRANCE,3369,7906
1908-06-11,1908-03-11,20,New York,UNITED STATE OF AMERICA,1298,7
1908-06-11,1908-03-11,20,New York,UNITED STATE OF AMERICA,2242,53
1968-04-17,1968-03-17,20,Los Angeles,UNITED STATE OF AMERICA,407,1038
1968-04-17,1968-03-17,20,Los Angeles,UNITED STATE OF AMERICA,818,3510
1968-04-17,1968-03-17,20,Los Angeles,UNITED STATE OF AMERICA,1330,101
1968-04-17,1968-03-17,20,Los Angeles,UNITED STATE OF AMERICA,2916,1
1968-04-17,1968-03-17,20,Los Angeles,UNITED STATE OF AMERICA,452,118
1968-04-17,1968-03-17,20,Los Angeles,UNITED STATE OF AMERICA,1605,407
1968-04-17,1968-03-17,20,Los Angeles,UNITED STATE OF AMERICA,1202,2950
1968-04-17,1968-03-17,20,Los Angeles,UNITED STATE OF AMERICA,16,59
1968-04-17,1968-03-17,20,Los Angeles,UNITED STATE OF AMERICA,980,1
1968-04-17,1968-03-17,20,Los Angeles,UNITED STATE OF AMERICA,2753,330
1968-05-17,1968-03-17,20,Los Angeles,UNITED STATE OF AMERICA,2168,1211
1978-02-25,1978-01-25,22,Yingkou ,CHINA,713,5
1978-02-25,1978-01-25,22,Yingkou ,CHINA,670,8
2014-10-08,2014-09-08,23,Annaba,ALGERIA,439,318
2014-11-08,2014-09-08,23,London,ENGLAND,377,1890
2014-11-08,2014-09-08,23,London,ENGLAND,3314,78
2014-11-08,2014-09-08,23,London,ENGLAND,679,132
2014-11-08,2014-09-08,23,London,ENGLAND,2180,1
2014-11-08,2014-09-08,23,London,ENGLAND,3113,1087
2014-11-08,2014-09-08,23,London,ENGLAND,3651,4
1968-09-04,1968-08-04,23,marseille,FRANCE,449,548
1968-10-04,1968-08-04,23,Alger,ALGERIA,382,1
1968-10-04,1968-08-04,23,Alger,ALGERIA,50,306
1968-10-04,1968-08-04,23,Alger,ALGERIA,3945,1
1968-10-04,1968-08-04,23,Alger,ALGERIA,1246,1961
1968-10-04,1968-08-04,23,Alger,ALGERIA,3110,16
1968-10-04,1968-08-04,23,Alger,ALGERIA,1583,121
1968-10-04,1968-08-04,23,Alger,ALGERIA,3105,4
1968-11-04,1968-08-04,23,Oran,ALGERIA,69,1206
1968-11-04,1968-08-04,23,Oran,ALGERIA,1566,4909
1970-03-20,1970-02-20,23,Oran,ALGERIA,504,60
1970-03-20,1970-02-20,23,Oran,ALGERIA,1698,13156
1908-09-28,1908-08-28,24,Cochin,INDIA,1246,11
1908-09-28,1908-08-28,24,Cochin,INDIA,618,3
1908-09-28,1908-08-28,24,Cochin,INDIA,2106,91
1908-09-28,1908-08-28,24,Cochin,INDIA,1250,23
1908-10-28,1908-08-28,24,Cochin,INDIA,2138,2
1908-10-28,1908-08-28,24,Cochin,INDIA,2209,53
1908-10-28,1908-08-28,24,Cochin,INDIA,2742,4
1908-10-28,1908-08-28,24,Cochin,INDIA,3698,35
1943-03-06,1943-02-06,27,New York,UNITED STATE OF AMERICA,1292,4
1943-03-06,1943-02-06,27,New York,UNITED STATE OF AMERICA,3139,498
1943-03-06,1943-02-06,27,New York,UNITED STATE OF AMERICA,3088,4993
1943-03-06,1943-02-06,27,New York,UNITED STATE OF AMERICA,1322,2981
1943-03-06,1943-02-06,27,New York,UNITED STATE OF AMERICA,3911,80
1943-04-06,1943-02-06,27,Los Angeles,UNITED STATE OF AMERICA,3601,1
1943-04-06,1943-02-06,27,Los Angeles,UNITED STATE OF AMERICA,2209,38
1943-04-06,1943-02-06,27,Los Angeles,UNITED STATE OF AMERICA,3922,67
1943-04-06,1943-02-06,27,Los Angeles,UNITED STATE OF AMERICA,627,1
1943-04-06,1943-02-06,27,Los Angeles,UNITED STATE OF AMERICA,1276,879
1948-05-08,1948-04-08,29,London,ENGLAND,60,1
1948-05-08,1948-04-08,29,London,ENGLAND,1876,1
1948-05-08,1948-04-08,29,London,ENGLAND,955,106
1982-05-21,1982-04-21,29,Alger,ALGERIA,325,1546
1982-05-21,1982-04-21,29,Alger,ALGERIA,1331,2
1982-05-21,1982-04-21,29,Alger,ALGERIA,3307,12643
1982-05-21,1982-04-21,29,Alger,ALGERIA,3132,7
1982-05-21,1982-04-21,29,Alger,ALGERIA,1597,179
1973-12-11,1973-11-11,30,Yingkou ,CHINA,3663,8
1973-12-11,1973-11-11,30,Yingkou ,CHINA,3521,155
1973-12-11,1973-11-11,30,Yingkou ,CHINA,2552,15
1973-12-11,1973-11-11,30,Yingkou ,CHINA,1989,4
1973-12-11,1973-11-11,30,Yingkou ,CHINA,676,2
1973-12-11,1973-11-11,30,Yingkou ,CHINA,502,11
1973-12-11,1973-11-11,30,Yingkou ,CHINA,1146,1
1973-12-11,1973-11-11,30,Yingkou ,CHINA,1519,5
1973-12-11,1973-11-11,30,Yingkou ,CHINA,569,3
1920-08-25,1920-07-25,34,marseille,FRANCE,1344,1
1920-08-25,1920-07-25,34,marseille,FRANCE,2824,9
1920-08-25,1920-07-25,34,marseille,FRANCE,2218,1
1920-09-25,1920-07-25,34,Salerne,ITALIE,4004,1
1920-09-25,1920-07-25,34,Salerne,ITALIE,2478,3
1920-09-25,1920-07-25,34,Salerne,ITALIE,319,28
1920-09-25,1920-07-25,34,Salerne,ITALIE,96,16
1913-11-17,1913-10-17,37,la rochelle,FRANCE,104,528
1913-12-17,1913-10-17,37,Annaba,ALGERIA,1007,11
1913-12-17,1913-10-17,37,Annaba,ALGERIA,133,203
1913-12-17,1913-10-17,37,Annaba,ALGERIA,1851,61
1973-09-01,1973-08-01,38,marseille,FRANCE,1579,1
1973-09-01,1973-08-01,38,marseille,FRANCE,1996,38
1973-09-01,1973-08-01,38,marseille,FRANCE,1945,13
1973-09-01,1973-08-01,38,marseille,FRANCE,371,2
1973-09-01,1973-08-01,38,marseille,FRANCE,2902,272
1973-10-01,1973-08-01,38,la rochelle,FRANCE,2923,29
1973-10-01,1973-08-01,38,la rochelle,FRANCE,3432,19
1973-10-01,1973-08-01,38,la rochelle,FRANCE,203,36
1973-10-01,1973-08-01,38,la rochelle,FRANCE,926,8
1973-10-01,1973-08-01,38,la rochelle,FRANCE,2850,6
1948-11-07,1948-10-07,42,Liverpool,ENGLAND,3624,3
1948-11-07,1948-10-07,42,Liverpool,ENGLAND,3023,424
1948-11-07,1948-10-07,42,Liverpool,ENGLAND,2781,252
1948-11-07,1948-10-07,42,Liverpool,ENGLAND,406,217
1948-11-07,1948-10-07,42,Liverpool,ENGLAND,2762,11
1948-11-07,1948-10-07,42,Liverpool,ENGLAND,1911,10
1948-11-07,1948-10-07,42,Liverpool,ENGLAND,2810,246
1948-11-07,1948-10-07,42,Liverpool,ENGLAND,945,4
1948-11-07,1948-10-07,42,Liverpool,ENGLAND,3,2
1948-11-07,1948-10-07,42,Liverpool,ENGLAND,3991,177
1948-12-07,1948-10-07,42,Los Angeles,UNITED STATE OF AMERICA,1208,571
1989-08-05,1989-06-05,44,London,ENGLAND,2134,1639
1995-03-07,1995-02-07,44,Alger,ALGERIA,649,10311
1945-08-08,1945-07-08,44,New York,UNITED STATE OF AMERICA,944,76
1945-08-08,1945-07-08,44,New York,UNITED STATE OF AMERICA,2422,1891
1945-08-08,1945-07-08,44,New York,UNITED STATE OF AMERICA,3372,10
2012-12-07,2012-11-07,51,Alger,ALGERIA,2715,426
2012-12-07,2012-11-07,51,Alger,ALGERIA,3006,695
2012-12-07,2012-11-07,51,Alger,ALGERIA,621,325
2012-12-07,2012-11-07,51,Alger,ALGERIA,324,258
2013-01-07,2012-11-07,51,New York,UNITED STATE OF AMERICA,1015,13
1960-01-01,1959-12-01,53,London,ENGLAND,3029,1669
1960-01-01,1959-12-01,53,London,ENGLAND,3635,1
1960-01-01,1959-12-01,53,London,ENGLAND,4016,47
1960-01-01,1959-12-01,53,London,ENGLAND,3699,4
1960-01-01,1959-12-01,53,London,ENGLAND,2187,41
1960-01-01,1959-12-01,53,London,ENGLAND,1844,1
1960-01-01,1959-12-01,53,London,ENGLAND,3395,1
1960-01-01,1959-12-01,53,London,ENGLAND,1585,58
1960-01-01,1959-12-01,53,London,ENGLAND,2437,6
1960-01-01,1959-12-01,53,London,ENGLAND,3676,1
1960-03-01,1959-12-01,53,Yingkou ,CHINA,2515,1688
1917-06-06,1917-05-06,53,Los Angeles,UNITED STATE OF AMERICA,3726,2
1917-06-06,1917-05-06,53,Los Angeles,UNITED STATE OF AMERICA,143,85
1917-06-06,1917-05-06,53,Los Angeles,UNITED STATE OF AMERICA,2115,105
1917-06-06,1917-05-06,53,Los Angeles,UNITED STATE OF AMERICA,373,126
1917-06-06,1917-05-06,53,Los Angeles,UNITED STATE OF AMERICA,714,21
1917-07-06,1917-05-06,53,Napoli,ITALIE,3738,1
1917-07-06,1917-05-06,53,Napoli,ITALIE,137,1803
1917-07-06,1917-05-06,53,Napoli,ITALIE,964,1
1917-07-06,1917-05-06,53,Napoli,ITALIE,2439,2490
1917-07-06,1917-05-06,53,Napoli,ITALIE,687,5
1917-07-06,1917-05-06,53,Napoli,ITALIE,1942,13
1917-07-06,1917-05-06,53,Napoli,ITALIE,3397,2
1918-12-27,1918-11-27,59,Liverpool,ENGLAND,1328,3
1918-12-27,1918-11-27,59,Liverpool,ENGLAND,3403,1
1918-12-27,1918-11-27,59,Liverpool,ENGLAND,4033,1
1918-12-27,1918-11-27,59,Liverpool,ENGLAND,1885,11
1918-12-27,1918-11-27,59,Liverpool,ENGLAND,3054,1
1919-01-27,1918-11-27,59,Yingkou ,CHINA,2193,1
1919-01-27,1918-11-27,59,Yingkou ,CHINA,3714,1
1919-02-27,1918-11-27,59,Salerne,ITALIE,2222,4
1957-01-04,1956-12-04,60,Los Angeles,UNITED STATE OF AMERICA,3434,1
1957-01-04,1956-12-04,60,Los Angeles,UNITED STATE OF AMERICA,128,1
1957-01-04,1956-12-04,60,Los Angeles,UNITED STATE OF AMERICA,708,13
1957-01-04,1956-12-04,60,Los Angeles,UNITED STATE OF AMERICA,1,5709
1957-01-04,1956-12-04,60,Los Angeles,UNITED STATE OF AMERICA,1504,1
1957-01-04,1956-12-04,60,Los Angeles,UNITED STATE OF AMERICA,1860,1
1957-01-04,1956-12-04,60,Los Angeles,UNITED STATE OF AMERICA,14,862
1966-06-12,1966-05-12,60,Alger,ALGERIA,3042,9
1966-06-12,1966-05-12,60,Alger,ALGERIA,1893,2
1966-06-12,1966-05-12,60,Alger,ALGERIA,2498,871
1966-06-12,1966-05-12,60,Alger,ALGERIA,2479,1
1966-06-12,1966-05-12,60,Alger,ALGERIA,3718,46
1966-06-12,1966-05-12,60,Alger,ALGERIA,429,2
1966-06-12,1966-05-12,60,Alger,ALGERIA,2760,99
1966-06-12,1966-05-12,60,Alger,ALGERIA,4025,6205
1966-06-12,1966-05-12,60,Alger,ALGERIA,1574,1
1948-05-15,1948-04-15,60,Los Angeles,UNITED STATE OF AMERICA,1697,6429
1948-05-15,1948-04-15,60,Los Angeles,UNITED STATE OF AMERICA,1844,431
1948-05-15,1948-04-15,60,Los Angeles,UNITED STATE OF AMERICA,1975,2
1948-05-15,1948-04-15,60,Los Angeles,UNITED STATE OF AMERICA,3803,1568
1948-05-15,1948-04-15,60,Los Angeles,UNITED STATE OF AMERICA,2160,26
1948-05-15,1948-04-15,60,Los Angeles,UNITED STATE OF AMERICA,1335,436
1948-05-15,1948-04-15,60,Los Angeles,UNITED STATE OF AMERICA,2815,81
1948-05-15,1948-04-15,60,Los Angeles,UNITED STATE OF AMERICA,2386,19
1915-05-08,1915-04-08,60,New York,UNITED STATE OF AMERICA,945,7
1915-05-08,1915-04-08,60,New York,UNITED STATE OF AMERICA,928,3
1915-05-08,1915-04-08,60,New York,UNITED STATE OF AMERICA,3366,2341
1915-05-08,1915-04-08,60,New York,UNITED STATE OF AMERICA,4000,9
1915-06-08,1915-04-08,60,Los Angeles,UNITED STATE OF AMERICA,1604,1
1915-06-08,1915-04-08,60,Los Angeles,UNITED STATE OF AMERICA,3616,755
1952-11-07,1952-10-07,60,London,ENGLAND,2539,3
1952-11-07,1952-10-07,60,London,ENGLAND,3396,467
1952-11-07,1952-10-07,60,London,ENGLAND,3633,2
1952-12-07,1952-10-07,60,marseille,FRANCE,2771,1443
1952-12-07,1952-10-07,60,marseille,FRANCE,2145,1
1952-12-07,1952-10-07,60,marseille,FRANCE,2454,2
1952-12-07,1952-10-07,60,marseille,FRANCE,3431,797
1952-12-07,1952-10-07,60,marseille,FRANCE,698,3
1952-12-07,1952-10-07,60,marseille,FRANCE,2203,3232
1952-12-07,1952-10-07,60,marseille,FRANCE,3689,28
1952-12-07,1952-10-07,60,marseille,FRANCE,129,1759
1992-01-17,1991-12-17,61,Elizabeth,SOUTH AFRICA,3997,16
1992-01-17,1991-12-17,61,Elizabeth,SOUTH AFRICA,1923,1
1992-01-17,1991-12-17,61,Elizabeth,SOUTH AFRICA,2785,106
1992-01-17,1991-12-17,61,Elizabeth,SOUTH AFRICA,3053,1
1992-01-17,1991-12-17,61,Elizabeth,SOUTH AFRICA,3313,148
1962-12-11,1962-11-11,62,Annaba,ALGERIA,1224,964
1962-12-11,1962-11-11,62,Annaba,ALGERIA,1003,3
1962-12-11,1962-11-11,62,Annaba,ALGERIA,302,4
1962-12-11,1962-11-11,62,Annaba,ALGERIA,1004,32
1962-12-11,1962-11-11,62,Annaba,ALGERIA,2763,962
1962-12-11,1962-11-11,62,Annaba,ALGERIA,390,2
1962-12-11,1962-11-11,62,Annaba,ALGERIA,1618,935
1963-01-11,1962-11-11,62,Annaba,ALGERIA,37,98
1992-12-09,1992-11-09,62,New York,UNITED STATE OF AMERICA,999,22
1992-12-09,1992-11-09,62,New York,UNITED STATE OF AMERICA,607,25
1992-12-09,1992-11-09,62,New York,UNITED STATE OF AMERICA,3946,5098
1992-12-09,1992-11-09,62,New York,UNITED STATE OF AMERICA,3929,2923
1992-12-09,1992-11-09,62,New York,UNITED STATE OF AMERICA,1874,181
1992-12-09,1992-11-09,62,New York,UNITED STATE OF AMERICA,621,15
1992-12-09,1992-11-09,62,New York,UNITED STATE OF AMERICA,1265,1
1992-12-09,1992-11-09,62,New York,UNITED STATE OF AMERICA,1647,72
1993-01-09,1992-11-09,62,London,ENGLAND,1218,1
1927-04-14,1927-03-14,62,Oran,ALGERIA,1862,8054
1927-05-14,1927-03-14,62,New York,UNITED STATE OF AMERICA,3948,4
1927-05-14,1927-03-14,62,New York,UNITED STATE OF AMERICA,1040,4
1927-05-14,1927-03-14,62,New York,UNITED STATE OF AMERICA,2722,2
1927-06-14,1927-03-14,62,Oran,ALGERIA,2242,1517
1927-06-14,1927-03-14,62,Oran,ALGERIA,1215,7
1927-06-14,1927-03-14,62,Oran,ALGERIA,1263,1
1900-06-23,1900-05-23,62,Los Angeles,UNITED STATE OF AMERICA,3676,8
1900-07-23,1900-05-23,62,Los Angeles,UNITED STATE OF AMERICA,1582,2
1900-07-23,1900-05-23,62,Los Angeles,UNITED STATE OF AMERICA,1244,4
1900-07-23,1900-05-23,62,Los Angeles,UNITED STATE OF AMERICA,1809,4952
1900-07-23,1900-05-23,62,Los Angeles,UNITED STATE OF AMERICA,4035,1
1900-07-23,1900-05-23,62,Los Angeles,UNITED STATE OF AMERICA,3109,1881
1900-07-23,1900-05-23,62,Los Angeles,UNITED STATE OF AMERICA,3027,1
1944-04-04,1944-03-04,66,Annaba,ALGERIA,630,8
1944-04-04,1944-03-04,66,Annaba,ALGERIA,2139,22
1944-04-04,1944-03-04,66,Annaba,ALGERIA,3687,361
1944-04-04,1944-03-04,66,Annaba,ALGERIA,3689,59
1944-04-04,1944-03-04,66,Annaba,ALGERIA,3739,72
1944-04-04,1944-03-04,66,Annaba,ALGERIA,943,6
1944-05-04,1944-03-04,66,Monreal,CANADA,917,1
1944-05-04,1944-03-04,66,Monreal,CANADA,337,24
1944-05-04,1944-03-04,66,Monreal,CANADA,703,12
1926-11-04,1926-10-04,67,Barcelona,ESPAGNE,2816,7
1926-11-04,1926-10-04,67,Barcelona,ESPAGNE,2187,7
1926-11-04,1926-10-04,67,Barcelona,ESPAGNE,2477,2859
1907-03-08,1907-02-08,70,Alger,ALGERIA,798,1
1922-05-08,1922-04-08,75,marseille,FRANCE,3414,421
1922-05-08,1922-04-08,75,marseille,FRANCE,1026,2043
1922-05-08,1922-04-08,75,marseille,FRANCE,2818,99
1922-05-08,1922-04-08,75,marseille,FRANCE,3911,186
1922-05-08,1922-04-08,75,marseille,FRANCE,995,111
1922-05-08,1922-04-08,75,marseille,FRANCE,2817,1
1922-05-08,1922-04-08,75,marseille,FRANCE,1837,140
1917-12-10,1917-11-10,75,marseille,FRANCE,2458,3238
1917-12-10,1917-11-10,75,marseille,FRANCE,3920,2679
1917-12-10,1917-11-10,75,marseille,FRANCE,3401,470
1917-12-10,1917-11-10,75,marseille,FRANCE,693,716
1917-12-10,1917-11-10,75,marseille,FRANCE,1006,3304
1917-12-10,1917-11-10,75,marseille,FRANCE,53,2012
1972-03-05,1972-02-05,75,London,ENGLAND,2587,1
1972-03-05,1972-02-05,75,London,ENGLAND,1809,528
1972-03-05,1972-02-05,75,London,ENGLAND,1670,1225
2018-04-05,2018-03-05,76,New York,UNITED STATE OF AMERICA,122,3
2018-04-05,2018-03-05,76,New York,UNITED STATE OF AMERICA,1892,1
2018-04-05,2018-03-05,76,New York,UNITED STATE OF AMERICA,3907,7
2015-12-28,2015-11-28,85,New York,UNITED STATE OF AMERICA,4102,3
2015-12-28,2015-11-28,85,New York,UNITED STATE OF AMERICA,2822,1
2015-12-28,2015-11-28,85,New York,UNITED STATE OF AMERICA,1808,2
2015-12-28,2015-11-28,85,New York,UNITED STATE OF AMERICA,138,45
2015-12-28,2015-11-28,85,New York,UNITED STATE OF AMERICA,1618,4
2015-12-28,2015-11-28,85,New York,UNITED STATE OF AMERICA,3475,73
2015-12-28,2015-11-28,85,New York,UNITED STATE OF AMERICA,950,5
2015-12-28,2015-11-28,85,New York,UNITED STATE OF AMERICA,1747,1652
1922-02-01,1922-01-01,89,Barcelona,ESPAGNE,1938,1148
1922-02-01,1922-01-01,89,Barcelona,ESPAGNE,3386,185
1922-02-01,1922-01-01,89,Barcelona,ESPAGNE,3825,1
1922-03-01,1922-01-01,89,Oran,ALGERIA,1129,321
1922-04-01,1922-01-01,89,Napoli,ITALIE,341,5389
1922-04-01,1922-01-01,89,Napoli,ITALIE,3155,1
1984-03-25,1984-02-25,89,Elizabeth,SOUTH AFRICA,1266,1
1984-03-25,1984-02-25,89,Elizabeth,SOUTH AFRICA,1044,10
1984-04-25,1984-02-25,89,Los Angeles,UNITED STATE OF AMERICA,684,371
1984-04-25,1984-02-25,89,Los Angeles,UNITED STATE OF AMERICA,2131,11
1984-04-25,1984-02-25,89,Los Angeles,UNITED STATE OF AMERICA,422,925
1984-04-25,1984-02-25,89,Los Angeles,UNITED STATE OF AMERICA,3078,18
1984-04-25,1984-02-25,89,Los Angeles,UNITED STATE OF AMERICA,320,2
1984-04-25,1984-02-25,89,Los Angeles,UNITED STATE OF AMERICA,2711,5
1984-05-25,1984-02-25,89,marseille,FRANCE,678,15
1984-05-25,1984-02-25,89,marseille,FRANCE,410,2931
1984-05-25,1984-02-25,89,marseille,FRANCE,3721,110
1957-11-07,1957-10-07,90,London,ENGLAND,3164,953
1957-11-07,1957-10-07,90,London,ENGLAND,3933,8963
1957-11-07,1957-10-07,90,London,ENGLAND,1603,204
1957-12-07,1957-10-07,90,Alger,ALGERIA,4020,5
1958-01-07,1957-10-07,90,London,ENGLAND,1182,17
1958-01-07,1957-10-07,90,London,ENGLAND,775,162
1958-01-07,1957-10-07,90,London,ENGLAND,3562,1005
1958-01-07,1957-10-07,90,London,ENGLAND,582,1
1958-01-07,1957-10-07,90,London,ENGLAND,260,2
1989-08-10,1989-07-10,90,London,ENGLAND,3003,950
1989-08-10,1989-07-10,90,London,ENGLAND,335,1
1989-08-10,1989-07-10,90,London,ENGLAND,1630,4
1989-08-10,1989-07-10,90,London,ENGLAND,3106,1
1989-09-10,1989-07-10,90,London,ENGLAND,3382,3
1989-09-10,1989-07-10,90,London,ENGLAND,1927,422
1989-09-10,1989-07-10,90,London,ENGLAND,1238,550
1989-09-10,1989-07-10,90,London,ENGLAND,1519,9
1989-10-10,1989-07-10,90,Alger,ALGERIA,3731,174
1989-10-10,1989-07-10,90,Alger,ALGERIA,3327,6539
1989-10-10,1989-07-10,90,Alger,ALGERIA,1816,4
1989-10-10,1989-07-10,90,Alger,ALGERIA,1326,268
1987-03-19,1987-02-19,90,New York,UNITED STATE OF AMERICA,3997,709
1987-03-19,1987-02-19,90,New York,UNITED STATE OF AMERICA,1905,3129
1987-03-19,1987-02-19,90,New York,UNITED STATE OF AMERICA,3654,2
1987-03-19,1987-02-19,90,New York,UNITED STATE OF AMERICA,1294,7
1987-04-19,1987-02-19,90,London,ENGLAND,3068,380
1987-04-19,1987-02-19,90,London,ENGLAND,2715,3
1987-04-19,1987-02-19,90,London,ENGLAND,1920,9
1987-04-19,1987-02-19,90,London,ENGLAND,1860,9
1987-04-19,1987-02-19,90,London,ENGLAND,2160,1
1987-05-19,1987-02-19,90,Los Angeles,UNITED STATE OF AMERICA,659,1248
1935-08-16,1935-07-16,90,marseille,FRANCE,1705,297
1935-08-16,1935-07-16,90,marseille,FRANCE,207,1
1935-08-16,1935-07-16,90,marseille,FRANCE,1263,6703
1906-06-06,1906-05-06,90,marseille,FRANCE,645,234
1906-06-06,1906-05-06,90,marseille,FRANCE,112,678
1906-06-06,1906-05-06,90,marseille,FRANCE,57,4
1906-06-06,1906-05-06,90,marseille,FRANCE,3709,1288
1906-06-06,1906-05-06,90,marseille,FRANCE,347,96
1906-07-06,1906-05-06,90,marseille,FRANCE,1507,95
1906-07-06,1906-05-06,90,marseille,FRANCE,3719,2292
1906-07-06,1906-05-06,90,marseille,FRANCE,1523,23
1906-07-06,1906-05-06,90,marseille,FRANCE,66,7
1906-08-06,1906-05-06,90,London,ENGLAND,667,271
1960-07-02,1960-06-02,91,Salerne,ITALIE,3903,2
1960-07-02,1960-06-02,91,Salerne,ITALIE,3337,1
1960-07-02,1960-06-02,91,Salerne,ITALIE,2449,14
1960-07-02,1960-06-02,91,Salerne,ITALIE,708,3
1976-04-05,1976-03-05,91,Dublin,IRLAND,991,1
