date_depart,ship,produit,volume
1915-04-08,60,3616,1754
1915-04-08,60,4000,46
1915-04-08,60,928,3
1915-04-08,60,945,26
1915-04-08,60,1604,4
1952-10-07,60,129,2393
1952-10-07,60,2203,8916
1952-10-07,60,3431,1310
1952-10-07,60,2771,2208
1952-10-07,60,3633,10
1952-10-07,60,3689,150
1952-10-07,60,3396,498
1952-10-07,60,371,35
1952-10-07,60,2539,20
1952-10-07,60,698,4
1952-10-07,60,2454,2
1952-10-07,60,2145,1
1952-10-07,60,2180,1
1991-12-17,61,3313,222
1991-12-17,61,2785,162
1991-12-17,61,3997,18
1991-12-17,61,3053,2
1991-12-17,61,1923,2
1962-11-11,62,2763,11610
1962-11-11,62,1224,3950
1962-11-11,62,1618,997
1962-11-11,62,37,119
1962-11-11,62,302,5
1962-11-11,62,1004,34
1962-11-11,62,390,4
1962-11-11,62,1003,7
1992-11-09,62,3946,9873
1992-11-09,62,3929,3373
1992-11-09,62,1874,2835
1992-11-09,62,607,496
1992-11-09,62,1647,80
1992-11-09,62,1265,5
1992-11-09,62,999,43
1992-11-09,62,621,20
1992-11-09,62,1218,1
1927-03-14,62,1862,14831
1927-03-14,62,2242,1870
1927-03-14,62,2722,5
1927-03-14,62,1215,9
1927-03-14,62,3948,6
1927-03-14,62,1040,4
1927-03-14,62,1263,1
1900-05-23,62,1809,13665
1900-05-23,62,3109,2932
1900-05-23,62,3676,117
1900-05-23,62,1582,3
1900-05-23,62,4035,4
1900-05-23,62,1244,4
1900-05-23,62,3027,1
1944-03-04,66,3687,375
1944-03-04,66,3689,154
1944-03-04,66,2139,60
1944-03-04,66,337,90
1944-03-04,66,3739,114
1944-03-04,66,943,32
1944-03-04,66,703,12
1944-03-04,66,630,15
1944-03-04,66,917,1
1926-10-04,67,1216,6048
1926-10-04,67,2477,4253
1926-10-04,67,1846,3996
1926-10-04,67,1307,415
1926-10-04,67,1817,102
1926-10-04,67,625,55
1926-10-04,67,2816,7
1926-10-04,67,2187,7
1926-10-04,67,131,8
1926-10-04,67,1589,2
1907-02-08,70,3509,7046
1907-02-08,70,3511,5103
1907-02-08,70,1889,6249
1907-02-08,70,686,385
1907-02-08,70,798,3
1907-02-08,70,1783,68
1907-02-08,70,3688,28
1907-02-08,70,3032,2
1907-02-08,70,3534,6
1907-02-08,70,2029,1
1907-02-08,70,3075,1
1907-02-08,70,213,1
1907-02-08,70,3589,1
1907-02-08,70,139,1
1922-04-08,75,1026,15700
1922-04-08,75,3414,1892
1922-04-08,75,3911,408
1922-04-08,75,2818,1188
1922-04-08,75,1837,384
1922-04-08,75,995,122
1922-04-08,75,2817,1
1917-11-10,75,3920,5354
1917-11-10,75,1006,4613
1917-11-10,75,693,1021
1917-11-10,75,3401,2670
1917-11-10,75,2458,3765
1917-11-10,75,53,2144
1972-02-05,75,1809,955
1972-02-05,75,1045,13396
1972-02-05,75,1670,3429
1972-02-05,75,3590,732
1972-02-05,75,3182,82
1972-02-05,75,162,1093
1972-02-05,75,2587,2
1972-02-05,75,2119,6
2018-03-05,76,3907,12
2018-03-05,76,1892,1
2018-03-05,76,122,4
2015-11-28,85,1808,1774
2015-11-28,85,1747,2485
2015-11-28,85,138,57
2015-11-28,85,3475,81
2015-11-28,85,4102,16
2015-11-28,85,950,17
2015-11-28,85,2822,1
2015-11-28,85,1618,5
1922-01-01,89,341,8414
1922-01-01,89,2194,2413
1922-01-01,89,1129,580
1922-01-01,89,1938,1444
1922-01-01,89,3386,521
1922-01-01,89,1917,72
1922-01-01,89,3825,1
1922-01-01,89,3155,6
1922-01-01,89,2840,1
1984-02-25,89,422,6624
1984-02-25,89,410,3771
1984-02-25,89,684,2693
1984-02-25,89,678,83
1984-02-25,89,1044,10
1984-02-25,89,3721,227
1984-02-25,89,3078,22
1984-02-25,89,2131,12
1984-02-25,89,320,2
1984-02-25,89,2711,7
1984-02-25,89,1266,1
1957-10-07,90,3933,13685
1957-10-07,90,775,201
1957-10-07,90,3562,1495
1957-10-07,90,1182,30
1957-10-07,90,1603,321
1957-10-07,90,3164,1109
1957-10-07,90,260,10
1957-10-07,90,4020,14
1957-10-07,90,582,1
1989-07-10,90,1927,4246
1989-07-10,90,3327,7044
1989-07-10,90,3003,4046
1989-07-10,90,1238,702
1989-07-10,90,3731,260
1989-07-10,90,1326,495
1989-07-10,90,1519,34
1989-07-10,90,1630,25
1989-07-10,90,3106,2
1989-07-10,90,1816,4
1989-07-10,90,3382,3
1989-07-10,90,1821,4
1989-07-10,90,335,1
1987-02-19,90,1905,3478
1987-02-19,90,1860,6994
1987-02-19,90,3997,3921
1987-02-19,90,3068,478
1987-02-19,90,659,1942
1987-02-19,90,3654,10
1987-02-19,90,1920,31
1987-02-19,90,1294,8
1987-02-19,90,2715,3
1987-02-19,90,2160,1
1935-07-16,90,1263,14543
1935-07-16,90,2578,832
1935-07-16,90,1705,877
1935-07-16,90,472,144
1935-07-16,90,4000,249
1935-07-16,90,1460,218
1935-07-16,90,207,2
1935-07-16,90,647,1
1906-05-06,90,1507,4853
1906-05-06,90,3709,4823
1906-05-06,90,3719,3112
1906-05-06,90,112,955
1906-05-06,90,667,613
1906-05-06,90,1523,111
1906-05-06,90,645,876
1906-05-06,90,3664,1213
1906-05-06,90,347,170
1906-05-06,90,1509,27
1906-05-06,90,442,48
1906-05-06,90,1502,40
1906-05-06,90,2477,8
1906-05-06,90,57,4
1906-05-06,90,66,8
1960-06-02,91,2449,42
1960-06-02,91,708,37
1960-06-02,91,3337,3
1960-06-02,91,3903,3
1976-03-05,91,621,68
1976-03-05,91,991,2
1976-03-05,91,2518,1
1976-03-05,91,1590,5
1976-03-05,91,3446,2
1976-03-05,91,2511,1
1976-03-05,91,1007,2
1976-03-05,91,3731,3
1976-03-05,91,3633,1
1992-03-12,100,1827,7803
1992-03-12,100,3311,5517
1992-03-12,100,3805,2034
1992-03-12,100,1600,151
1992-03-12,100,2964,4
1992-03-12,100,2069,2
1921-09-02,102,1501,9169
1921-09-02,102,3934,339
1921-09-02,102,1646,246
1921-09-02,102,2735,1274
1921-09-02,102,941,35
1978-02-13,102,3938,5308
1978-02-13,102,702,1199
1978-02-13,102,3932,224
1978-02-13,102,4027,2723
1978-02-13,102,3278,955
1978-02-13,102,649,274
1978-02-13,102,1056,35
1978-02-13,102,3788,184
1978-02-13,102,2179,20
1978-02-13,102,4089,6
1978-02-13,102,3271,61
1978-02-13,102,1162,58
1978-02-13,102,2219,8
1978-02-13,102,1851,7
1978-02-13,102,1875,1
1996-05-08,107,2496,53
1996-05-08,107,2189,117
1996-05-08,107,3397,240
1996-05-08,107,1025,39
1996-05-08,107,1607,188
1996-05-08,107,1534,20
1996-05-08,107,2179,150
1996-05-08,107,3907,2
1921-07-05,107,2545,7
1921-07-05,107,2454,660
1921-07-05,107,329,40
1921-07-05,107,67,121
1921-07-05,107,40,51
1921-07-05,107,2158,10
1921-07-05,107,1309,2
1921-07-05,107,406,2
1921-07-05,107,3680,1
1921-07-05,107,2461,1
1904-04-02,107,2777,663
1904-04-02,107,1020,78
1904-04-02,107,323,56
1904-04-02,107,3402,55
1904-04-02,107,3619,4
1904-04-02,107,2543,24
1904-04-02,107,2219,8
1904-04-02,107,396,7
1964-08-18,111,1879,13102
1964-08-18,111,1572,2659
1964-08-18,111,3606,2247
1964-08-18,111,2830,673
1964-08-18,111,3604,751
1964-08-18,111,3944,50
1964-08-18,111,3691,74
1964-08-18,111,1627,42
1964-08-18,111,2746,11
1964-08-18,111,1576,6
1964-08-18,111,2137,1
1964-08-18,111,1918,2
1964-08-18,111,678,1
1964-08-18,111,60,2
1934-11-20,111,89,9347
1934-11-20,111,971,8763
1934-11-20,111,3749,857
1934-11-20,111,2515,193
1934-11-20,111,3675,225
1934-11-20,111,1629,169
1934-11-20,111,2545,31
1934-11-20,111,3410,4
1934-11-20,111,56,2
1934-11-20,111,2842,6
1934-11-20,111,3007,20
1934-11-20,111,2470,1
1934-11-20,111,1615,1
1934-11-20,111,1207,1
1934-11-20,111,2848,1
1982-11-08,111,2432,1693
1982-11-08,111,2375,520
1982-11-08,111,662,8912
1982-11-08,111,996,364
1982-11-08,111,2861,8125
1982-11-08,111,2560,4
1982-11-08,111,38,2
1982-11-08,111,4192,1
1939-03-01,112,1839,14789
1939-03-01,112,1526,1105
1939-03-01,112,3394,168
1939-03-01,112,919,72
1939-03-01,112,362,25
1939-03-01,112,3090,26
1939-03-01,112,3685,4
1939-03-01,112,3106,1
2001-02-16,112,97,4603
2001-02-16,112,1543,6538
2001-02-16,112,2459,1624
2001-02-16,112,1305,3122
2001-02-16,112,3363,106
2001-02-16,112,3642,36
2001-02-16,112,358,139
2001-02-16,112,1580,21
2001-02-16,112,1930,1
2010-03-23,112,3372,5491
2010-03-23,112,1485,5505
2010-03-23,112,404,3440
2010-03-23,112,3134,292
2010-03-23,112,829,917
2010-03-23,112,2013,261
2010-03-23,112,4066,133
2010-03-23,112,992,59
2010-03-23,112,445,25
2010-03-23,112,3704,27
2010-03-23,112,1502,4
2010-03-23,112,627,5
2010-03-23,112,2950,27
2010-03-23,112,3668,3
2010-03-23,112,977,1
2007-05-16,112,2466,14979
2007-05-16,112,26,293
2007-05-16,112,968,170
2007-05-16,112,719,643
2007-05-16,112,707,104
2007-05-16,112,1624,1
2012-02-14,115,3014,10922
2012-02-14,115,2712,622
2012-02-14,115,3697,1257
2012-02-14,115,1527,58
2012-02-14,115,3639,86
2012-02-14,115,3910,4
1988-12-20,115,4149,957
1988-12-20,115,3273,1821
1988-12-20,115,1717,9425
1988-12-20,115,516,118
1988-12-20,115,445,142
1988-12-20,115,2199,381
1988-12-20,115,3395,42
1988-12-20,115,405,4
1988-12-20,115,1624,47
1988-12-20,115,4048,11
1988-12-20,115,2310,1
1949-07-23,115,101,283
1949-07-23,115,912,119
1949-07-23,115,2478,1963
1949-07-23,115,671,9658
1949-07-23,115,959,156
1949-07-23,115,2492,651
1949-07-23,115,2218,78
1949-07-23,115,1846,20
1949-07-23,115,2760,17
1949-07-23,115,1864,2
1949-07-23,115,1217,2
2003-09-06,117,74,860
2003-09-06,117,2842,359
2003-09-06,117,3448,70
2003-09-06,117,2230,6
2003-09-06,117,36,12
2003-09-06,117,1300,1
1992-06-06,118,2574,88
1992-06-06,118,2832,575
1992-06-06,118,3255,43
1992-06-06,118,2138,22
1992-06-06,118,469,7
1992-06-06,118,3335,2
1992-06-06,118,217,3
1992-06-06,118,2561,3
2018-01-17,118,2785,611
2018-01-17,118,2272,35
2018-01-17,118,820,76
2018-01-17,118,1762,3
2018-01-17,118,1417,10
2018-01-17,118,286,7
2018-01-17,118,2670,1
2000-04-28,119,1354,4603
2000-04-28,119,2189,8417
1991-06-04,124,3739,14318
1991-06-04,124,678,702
1991-06-04,124,2152,514
1991-06-04,124,2460,34
1991-06-04,124,1585,167
1991-06-04,124,631,33
1952-03-04,124,2710,6148
1952-03-04,124,661,2533
1952-03-04,124,3406,6808
1952-03-04,124,139,259
1952-03-04,124,326,18
1952-03-04,124,3640,1
1952-03-04,124,930,1
1973-10-11,124,1341,2087
1973-10-11,124,2497,2067
1973-10-11,124,3731,5562
1973-10-11,124,24,1164
1973-10-11,124,1924,1662
1973-10-11,124,1333,899
1973-10-11,124,3633,1804
1973-10-11,124,2774,39
1973-10-11,124,2475,241
1973-10-11,124,1554,6
1973-10-11,124,957,222
1973-10-11,124,1618,3
1973-10-11,124,703,12
1901-07-23,124,1244,2023
1901-07-23,124,2172,7188
1901-07-23,124,2219,4465
1901-07-23,124,1614,143
1901-07-23,124,2720,883
1901-07-23,124,641,331
1901-07-23,124,2137,672
1901-07-23,124,734,1
1901-07-23,124,927,29
1901-07-23,124,2499,18
1901-07-23,124,619,9
1901-07-23,124,3002,5
1901-07-23,124,360,1
1976-11-10,124,3343,5801
1976-11-10,124,919,5224
1976-11-10,124,2640,4436
1976-11-10,124,853,250
1976-11-10,124,2173,31
1976-11-10,124,3301,3
1976-11-10,124,3519,2
1976-11-10,124,4044,21
1958-10-01,124,1866,7344
1958-10-01,124,2758,4159
1958-10-01,124,3315,3483
1958-10-01,124,3924,267
1958-10-01,124,1028,205
1958-10-01,124,4042,32
1958-10-01,124,3113,50
1958-10-01,124,1244,80
1958-10-01,124,2736,54
1958-10-01,124,3111,79
1958-10-01,124,1238,4
1958-10-01,124,4040,11
1983-12-13,125,3328,103
1983-12-13,125,2613,4808
1983-12-13,125,2280,289
1983-12-13,125,1157,545
1983-12-13,125,700,779
1983-12-13,125,1091,125
1983-12-13,125,2330,59
1983-12-13,125,1857,72
1983-12-13,125,528,190
1983-12-13,125,3098,1
1983-09-17,127,3685,1659
1983-09-17,127,2512,460
1983-09-17,127,1566,2140
1983-09-17,127,4173,971
1983-09-17,127,126,21
1983-09-17,127,3818,192
1983-09-17,127,1996,233
1929-07-06,129,1995,4040
1929-07-06,129,403,2189
1929-07-06,129,962,4929
1929-07-06,129,3756,1641
1929-07-06,129,581,908
1929-07-06,129,3366,191
1929-07-06,129,2948,5
1929-07-06,129,870,54
1929-07-06,129,2321,30
1929-07-06,129,1993,12
1929-07-06,129,2488,1
1982-10-08,130,3344,13
1982-10-08,130,2731,38
1982-10-08,130,87,108
1982-10-08,130,448,5
1982-10-08,130,2455,37
1982-10-08,130,3097,1
1982-10-08,130,3730,9
1982-10-08,130,2126,4
1982-10-08,130,2142,2
1903-02-01,131,2822,2841
1903-02-01,131,1273,10673
1903-02-01,131,3639,1585
1903-02-01,131,3921,82
1903-02-01,131,1826,118
1903-02-01,131,3975,668
1903-02-01,131,1815,29
1903-02-01,131,3069,9
1903-02-01,131,1527,9
1903-02-01,131,702,1
1903-02-01,131,745,1
1958-08-25,138,2505,35
1958-08-25,138,1596,1
1958-08-25,138,3983,9
1967-07-18,140,3231,39
1967-07-18,140,625,324
1967-07-18,140,295,44
1967-07-18,140,2831,38
1923-10-28,141,1918,6017
1923-10-28,141,32,1161
1923-10-28,141,3734,2281
1923-10-28,141,3976,4352
1923-10-28,141,4039,35
1923-10-28,141,2810,24
1923-10-28,141,2447,36
1923-10-28,141,1226,1
1923-10-28,141,366,14
1953-03-15,143,3027,10127
1953-03-15,143,3072,376
1953-03-15,143,3330,4096
1953-03-15,143,1501,2462
1953-03-15,143,2780,458
1953-03-15,143,3311,718
1953-03-15,143,1947,95
1953-03-15,143,2403,7
1953-03-15,143,1826,1
1953-03-15,143,62,1
1970-05-08,145,2539,13
1970-05-08,145,1251,6
1989-01-04,146,4030,14026
1989-01-04,146,3954,3564
1989-01-04,146,3136,127
1989-01-04,146,362,347
1989-01-04,146,126,112
1989-01-04,146,3056,93
1989-01-04,146,1501,3
1989-01-04,146,605,1
1989-01-04,146,2807,1
1986-07-08,147,15,8
1986-07-08,147,1245,4
1986-07-08,147,3,8
1986-07-08,147,709,1
1939-09-19,157,989,2248
1939-09-19,157,640,1837
1939-09-19,157,1921,9611
1939-09-19,157,1930,3158
1939-09-19,157,357,740
1939-09-19,157,2448,293
1939-09-19,157,419,172
1939-09-19,157,1872,38
1939-09-19,157,1923,13
1939-09-19,157,742,44
1939-09-19,157,1540,1
2018-06-22,157,379,4480
2018-06-22,157,1607,89
2018-06-22,157,438,256
2018-06-22,157,1209,12235
2018-06-22,157,3005,251
2018-06-22,157,2817,446
2018-06-22,157,26,259
2018-06-22,157,3335,43
2018-06-22,157,718,44
2018-06-22,157,927,28
2018-06-22,157,1285,22
2018-06-22,157,3914,1
2018-06-22,157,1621,1
1971-09-10,159,2093,12490
1971-09-10,159,2663,107
1971-09-10,159,1057,5842
1971-09-10,159,1458,152
1971-09-10,159,1215,462
1971-09-10,159,1551,77
1971-09-10,159,4195,352
1971-09-10,159,1219,20
1971-09-10,159,1332,25
1971-09-10,159,763,10
1971-09-10,159,3588,2
1971-09-10,159,2273,1
1917-06-01,159,3158,7618
1917-06-01,159,2803,457
1917-06-01,159,2616,4462
1917-06-01,159,1985,6948
1917-06-01,159,3828,39
1917-06-01,159,1988,8
1917-06-01,159,2861,5
1917-06-01,159,2704,3
1902-12-07,159,36,9562
1902-12-07,159,3107,3531
1902-12-07,159,3782,5183
1902-12-07,159,2844,192
1902-12-07,159,2297,141
1902-12-07,159,831,194
1902-12-07,159,2740,566
1902-12-07,159,3757,85
1902-12-07,159,3621,74
1902-12-07,159,4170,9
1902-12-07,159,3231,2
1902-12-07,159,1438,1
1951-09-13,159,65,5907
1951-09-13,159,974,6213
1951-09-13,159,1630,2729
1951-09-13,159,2756,2818
1951-09-13,159,3011,66
1951-09-13,159,2161,1144
1951-09-13,159,403,150
1951-09-13,159,2189,255
1951-09-13,159,3321,133
1951-09-13,159,3352,107
1951-09-13,159,1509,4
1951-09-13,159,2722,1
1951-09-13,159,2222,1
1951-09-13,159,82,11
1960-06-25,164,1925,10007
1960-06-25,164,379,4869
1960-06-25,164,338,776
1960-06-25,164,1619,68
1960-06-25,164,3027,24
1960-06-25,164,661,61
1925-01-17,166,2858,1882
1925-01-17,166,1063,5193
1925-01-17,166,2935,4427
1925-01-17,166,88,287
1925-01-17,166,2785,59
1925-01-17,166,2055,35
2020-12-10,167,3271,12432
2020-12-10,167,1511,1197
2020-12-10,167,1320,1643
2020-12-10,167,2539,1242
2020-12-10,167,2480,19
2020-12-10,167,3035,107
2020-12-10,167,754,24
2020-12-10,167,1676,548
2020-12-10,167,1405,146
2020-12-10,167,167,10
2020-12-10,167,3580,4
2020-12-10,167,66,27
2020-12-10,167,379,17
2020-12-10,167,2399,3
2020-12-10,167,1607,2
1910-06-05,167,1883,775
1910-06-05,167,3398,6253
1910-06-05,167,3964,2433
1910-06-05,167,2468,4595
1910-06-05,167,1004,1524
1910-06-05,167,4002,619
1910-06-05,167,3089,220
1910-06-05,167,3958,541
1910-06-05,167,1932,32
1910-06-05,167,371,174
1910-06-05,167,436,39
1910-06-05,167,3712,106
1910-06-05,167,730,7
1910-06-05,167,3339,27
1910-06-05,167,2719,9
1910-06-05,167,2403,46
1910-06-05,167,2450,14
1910-06-05,167,1286,7
1952-02-22,167,1479,1093
1952-02-22,167,1614,13802
1952-02-22,167,1304,2102
1952-02-22,167,2705,66
1952-02-22,167,3347,295
1952-02-22,167,3770,15
1952-02-22,167,2600,10
1952-02-22,167,449,15
1952-02-22,167,647,2
1952-02-22,167,2555,6
