num,name,type_p,categorie,unite
89,Saint Albray (34% MG),sec,29,l
90,Saint Albray (34% MG),sec,0,m2
91,Saint Albray (34% MG),sec,1,m2
92,Saint Albray (34% MG),sec,2,m2
93,Saint Albray (34% MG),sec,3,m2
94,Saint Albray (34% MG),sec,4,m2
95,Saint Albray (34% MG),sec,5,m2
96,Saint Albray (34% MG),sec,6,m2
97,Saint Albray (34% MG),sec,7,m2
98,Saint Albray (34% MG),sec,8,m2
99,Saint Albray (34% MG),sec,9,m2
100,Saint Albray (34% MG),sec,10,m2
101,Saint Albray (34% MG),sec,11,m2
102,Saint Albray (34% MG),sec,12,m2
103,Saint Albray (34% MG),sec,13,m2
104,Saint Albray (34% MG),sec,14,m2
105,Saint Albray (34% MG),sec,15,m2
106,Saint Albray (34% MG),sec,16,m2
107,Saint Albray (34% MG),sec,17,m2
108,Saint Albray (34% MG),sec,18,m2
109,Saint Albray (34% MG),sec,19,m2
110,Saint Albray (34% MG),sec,20,m2
111,Saint Albray (34% MG),sec,21,m2
112,Saint Albray (34% MG),sec,22,m2
113,Saint Albray (34% MG),sec,23,m2
114,Saint Albray (34% MG),sec,24,m2
115,Saint Albray (34% MG),sec,25,m2
116,Saint Albray (34% MG),sec,26,m2
117,Saint Albray (34% MG),sec,27,m2
118,Saint Albray (34% MG),sec,28,m2
119,Saint Albray (34% MG),sec,29,m2
120,Saint Albray (34% MG),sec,0,m
121,Saint Albray (34% MG),sec,1,m
122,Saint Albray (34% MG),sec,2,m
123,Saint Albray (34% MG),sec,3,m
124,Saint Albray (34% MG),sec,4,m
125,Saint Albray (34% MG),sec,5,m
126,Saint Albray (34% MG),sec,6,m
127,Saint Albray (34% MG),sec,7,m
128,Saint Albray (34% MG),sec,8,m
129,Saint Albray (34% MG),sec,9,m
130,Saint Albray (34% MG),sec,10,m
131,Saint Albray (34% MG),sec,11,m
132,Saint Albray (34% MG),sec,12,m
133,Saint Albray (34% MG),sec,13,m
134,Saint Albray (34% MG),sec,14,m
135,Saint Albray (34% MG),sec,15,m
136,Saint Albray (34% MG),sec,16,m
137,Saint Albray (34% MG),sec,17,m
138,Saint Albray (34% MG),sec,18,m
139,Saint Albray (34% MG),sec,19,m
140,Saint Albray (34% MG),sec,20,m
141,Saint Albray (34% MG),sec,21,m
142,Saint Albray (34% MG),sec,22,m
143,Saint Albray (34% MG),sec,23,m
144,Saint Albray (34% MG),sec,24,m
145,Saint Albray (34% MG),sec,25,m
146,Saint Albray (34% MG),sec,26,m
147,Saint Albray (34% MG),sec,27,m
148,Saint Albray (34% MG),sec,28,m
149,Saint Albray (34% MG),sec,29,m
150,Saint Albray (34% MG),perissable,0,kg
151,Saint Albray (34% MG),perissable,1,kg
152,Saint Albray (34% MG),perissable,2,kg
153,Saint Albray (34% MG),perissable,3,kg
154,Saint Albray (34% MG),perissable,4,kg
155,Saint Albray (34% MG),perissable,5,kg
156,Saint Albray (34% MG),perissable,6,kg
157,Saint Albray (34% MG),perissable,7,kg
158,Saint Albray (34% MG),perissable,8,kg
159,Saint Albray (34% MG),perissable,9,kg
160,Saint Albray (34% MG),perissable,10,kg
161,Saint Albray (34% MG),perissable,11,kg
162,Saint Albray (34% MG),perissable,12,kg
163,Saint Albray (34% MG),perissable,13,kg
164,Saint Albray (34% MG),perissable,14,kg
165,Saint Albray (34% MG),perissable,15,kg
166,Saint Albray (34% MG),perissable,16,kg
167,Saint Albray (34% MG),perissable,17,kg
168,Saint Albray (34% MG),perissable,18,kg
169,Saint Albray (34% MG),perissable,19,kg
170,Saint Albray (34% MG),perissable,20,kg
171,Saint Albray (34% MG),perissable,21,kg
172,Saint Albray (34% MG),perissable,22,kg
173,Saint Albray (34% MG),perissable,23,kg
174,Saint Albray (34% MG),perissable,24,kg
175,Saint Albray (34% MG),perissable,25,kg
176,Saint Albray (34% MG),perissable,26,kg
177,Saint Albray (34% MG),perissable,27,kg
178,Saint Albray (34% MG),perissable,28,kg
179,Saint Albray (34% MG),perissable,29,kg
180,Saint Albray (34% MG),perissable,0,m3
181,Saint Albray (34% MG),perissable,1,m3
182,Saint Albray (34% MG),perissable,2,m3
183,Saint Albray (34% MG),perissable,3,m3
184,Saint Albray (34% MG),perissable,4,m3
185,Saint Albray (34% MG),perissable,5,m3
186,Saint Albray (34% MG),perissable,6,m3
187,Saint Albray (34% MG),perissable,7,m3
188,Saint Albray (34% MG),perissable,8,m3
189,Saint Albray (34% MG),perissable,9,m3
190,Saint Albray (34% MG),perissable,10,m3
191,Saint Albray (34% MG),perissable,11,m3
192,Saint Albray (34% MG),perissable,12,m3
193,Saint Albray (34% MG),perissable,13,m3
194,Saint Albray (34% MG),perissable,14,m3
195,Saint Albray (34% MG),perissable,15,m3
196,Saint Albray (34% MG),perissable,16,m3
197,Saint Albray (34% MG),perissable,17,m3
198,Saint Albray (34% MG),perissable,18,m3
199,Saint Albray (34% MG),perissable,19,m3
200,Saint Albray (34% MG),perissable,20,m3
201,Saint Albray (34% MG),perissable,21,m3
202,Saint Albray (34% MG),perissable,22,m3
203,Saint Albray (34% MG),perissable,23,m3
204,Saint Albray (34% MG),perissable,24,m3
205,Saint Albray (34% MG),perissable,25,m3
206,Saint Albray (34% MG),perissable,26,m3
207,Saint Albray (34% MG),perissable,27,m3
208,Saint Albray (34% MG),perissable,28,m3
209,Saint Albray (34% MG),perissable,29,m3
210,Saint Albray (34% MG),perissable,0,l
211,Saint Albray (34% MG),perissable,1,l
212,Saint Albray (34% MG),perissable,2,l
213,Saint Albray (34% MG),perissable,3,l
214,Saint Albray (34% MG),perissable,4,l
215,Saint Albray (34% MG),perissable,5,l
216,Saint Albray (34% MG),perissable,6,l
217,Saint Albray (34% MG),perissable,7,l
218,Saint Albray (34% MG),perissable,8,l
219,Saint Albray (34% MG),perissable,9,l
220,Saint Albray (34% MG),perissable,10,l
221,Saint Albray (34% MG),perissable,11,l
222,Saint Albray (34% MG),perissable,12,l
223,Saint Albray (34% MG),perissable,13,l
224,Saint Albray (34% MG),perissable,14,l
225,Saint Albray (34% MG),perissable,15,l
226,Saint Albray (34% MG),perissable,16,l
227,Saint Albray (34% MG),perissable,17,l
228,Saint Albray (34% MG),perissable,18,l
229,Saint Albray (34% MG),perissable,19,l
230,Saint Albray (34% MG),perissable,20,l
231,Saint Albray (34% MG),perissable,21,l
232,Saint Albray (34% MG),perissable,22,l
233,Saint Albray (34% MG),perissable,23,l
234,Saint Albray (34% MG),perissable,24,l
235,Saint Albray (34% MG),perissable,25,l
236,Saint Albray (34% MG),perissable,26,l
237,Saint Albray (34% MG),perissable,27,l
238,Saint Albray (34% MG),perissable,28,l
239,Saint Albray (34% MG),perissable,29,l
240,Saint Albray (34% MG),perissable,0,m2
241,Saint Albray (34% MG),perissable,1,m2
242,Saint Albray (34% MG),perissable,2,m2
243,Saint Albray (34% MG),perissable,3,m2
244,Saint Albray (34% MG),perissable,4,m2
245,Saint Albray (34% MG),perissable,5,m2
246,Saint Albray (34% MG),perissable,6,m2
247,Saint Albray (34% MG),perissable,7,m2
248,Saint Albray (34% MG),perissable,8,m2
249,Saint Albray (34% MG),perissable,9,m2
250,Saint Albray (34% MG),perissable,10,m2
251,Saint Albray (34% MG),perissable,11,m2
252,Saint Albray (34% MG),perissable,12,m2
253,Saint Albray (34% MG),perissable,13,m2
254,Saint Albray (34% MG),perissable,14,m2
255,Saint Albray (34% MG),perissable,15,m2
256,Saint Albray (34% MG),perissable,16,m2
257,Saint Albray (34% MG),perissable,17,m2
258,Saint Albray (34% MG),perissable,18,m2
259,Saint Albray (34% MG),perissable,19,m2
260,Saint Albray (34% MG),perissable,20,m2
261,Saint Albray (34% MG),perissable,21,m2
262,Saint Albray (34% MG),perissable,22,m2
263,Saint Albray (34% MG),perissable,23,m2
264,Saint Albray (34% MG),perissable,24,m2
265,Saint Albray (34% MG),perissable,25,m2
266,Saint Albray (34% MG),perissable,26,m2
267,Saint Albray (34% MG),perissable,27,m2
268,Saint Albray (34% MG),perissable,28,m2
269,Saint Albray (34% MG),perissable,29,m2
270,Saint Albray (34% MG),perissable,0,m
271,Saint Albray (34% MG),perissable,1,m
272,Saint Albray (34% MG),perissable,2,m
273,Saint Albray (34% MG),perissable,3,m
274,Saint Albray (34% MG),perissable,4,m
275,Saint Albray (34% MG),perissable,5,m
276,Saint Albray (34% MG),perissable,6,m
277,Saint Albray (34% MG),perissable,7,m
278,Saint Albray (34% MG),perissable,8,m
279,Saint Albray (34% MG),perissable,9,m
280,Saint Albray (34% MG),perissable,10,m
281,Saint Albray (34% MG),perissable,11,m
282,Saint Albray (34% MG),perissable,12,m
283,Saint Albray (34% MG),perissable,13,m
284,Saint Albray (34% MG),perissable,14,m
285,Saint Albray (34% MG),perissable,15,m
286,Saint Albray (34% MG),perissable,16,m
287,Saint Albray (34% MG),perissable,17,m
288,Saint Albray (34% MG),perissable,18,m
289,Saint Albray (34% MG),perissable,19,m
290,Saint Albray (34% MG),perissable,20,m
291,Saint Albray (34% MG),perissable,21,m
292,Saint Albray (34% MG),perissable,22,m
293,Saint Albray (34% MG),perissable,23,m
294,Saint Albray (34% MG),perissable,24,m
295,Saint Albray (34% MG),perissable,25,m
296,Saint Albray (34% MG),perissable,26,m
297,Saint Albray (34% MG),perissable,27,m
298,Saint Albray (34% MG),perissable,28,m
299,Saint Albray (34% MG),perissable,29,m
300,Saint Albray ,sec,0,kg
301,Saint Albray ,sec,1,kg
302,Saint Albray ,sec,2,kg
303,Saint Albray ,sec,3,kg
304,Saint Albray ,sec,4,kg
305,Saint Albray ,sec,5,kg
306,Saint Albray ,sec,6,kg
307,Saint Albray ,sec,7,kg
308,Saint Albray ,sec,8,kg
309,Saint Albray ,sec,9,kg
310,Saint Albray ,sec,10,kg
311,Saint Albray ,sec,11,kg
312,Saint Albray ,sec,12,kg
313,Saint Albray ,sec,13,kg
314,Saint Albray ,sec,14,kg
315,Saint Albray ,sec,15,kg
316,Saint Albray ,sec,16,kg
317,Saint Albray ,sec,17,kg
318,Saint Albray ,sec,18,kg
319,Saint Albray ,sec,19,kg
320,Saint Albray ,sec,20,kg
321,Saint Albray ,sec,21,kg
322,Saint Albray ,sec,22,kg
323,Saint Albray ,sec,23,kg
324,Saint Albray ,sec,24,kg
325,Saint Albray ,sec,25,kg
326,Saint Albray ,sec,26,kg
327,Saint Albray ,sec,27,kg
328,Saint Albray ,sec,28,kg
329,Saint Albray ,sec,29,kg
330,Saint Albray ,sec,0,m3
331,Saint Albray ,sec,1,m3
332,Saint Albray ,sec,2,m3
333,Saint Albray ,sec,3,m3
334,Saint Albray ,sec,4,m3
335,Saint Albray ,sec,5,m3
336,Saint Albray ,sec,6,m3
337,Saint Albray ,sec,7,m3
338,Saint Albray ,sec,8,m3
339,Saint Albray ,sec,9,m3
340,Saint Albray ,sec,10,m3
341,Saint Albray ,sec,11,m3
342,Saint Albray ,sec,12,m3
343,Saint Albray ,sec,13,m3
344,Saint Albray ,sec,14,m3
345,Saint Albray ,sec,15,m3
346,Saint Albray ,sec,16,m3
347,Saint Albray ,sec,17,m3
348,Saint Albray ,sec,18,m3
349,Saint Albray ,sec,19,m3
350,Saint Albray ,sec,20,m3
351,Saint Albray ,sec,21,m3
352,Saint Albray ,sec,22,m3
353,Saint Albray ,sec,23,m3
354,Saint Albray ,sec,24,m3
355,Saint Albray ,sec,25,m3
356,Saint Albray ,sec,26,m3
357,Saint Albray ,sec,27,m3
358,Saint Albray ,sec,28,m3
359,Saint Albray ,sec,29,m3
360,Saint Albray ,sec,0,l
361,Saint Albray ,sec,1,l
362,Saint Albray ,sec,2,l
363,Saint Albray ,sec,3,l
364,Saint Albray ,sec,4,l
365,Saint Albray ,sec,5,l
366,Saint Albray ,sec,6,l
367,Saint Albray ,sec,7,l
368,Saint Albray ,sec,8,l
369,Saint Albray ,sec,9,l
370,Saint Albray ,sec,10,l
371,Saint Albray ,sec,11,l
372,Saint Albray ,sec,12,l
373,Saint Albray ,sec,13,l
374,Saint Albray ,sec,14,l
375,Saint Albray ,sec,15,l
376,Saint Albray ,sec,16,l
377,Saint Albray ,sec,17,l
378,Saint Albray ,sec,18,l
379,Saint Albray ,sec,19,l
380,Saint Albray ,sec,20,l
381,Saint Albray ,sec,21,l
382,Saint Albray ,sec,22,l
383,Saint Albray ,sec,23,l
384,Saint Albray ,sec,24,l
385,Saint Albray ,sec,25,l
386,Saint Albray ,sec,26,l
387,Saint Albray ,sec,27,l
388,Saint Albray ,sec,28,l
389,Saint Albray ,sec,29,l
390,Saint Albray ,sec,0,m2
391,Saint Albray ,sec,1,m2
392,Saint Albray ,sec,2,m2
393,Saint Albray ,sec,3,m2
394,Saint Albray ,sec,4,m2
395,Saint Albray ,sec,5,m2
396,Saint Albray ,sec,6,m2
397,Saint Albray ,sec,7,m2
398,Saint Albray ,sec,8,m2
399,Saint Albray ,sec,9,m2
400,Saint Albray ,sec,10,m2
401,Saint Albray ,sec,11,m2
402,Saint Albray ,sec,12,m2
403,Saint Albray ,sec,13,m2
404,Saint Albray ,sec,14,m2
405,Saint Albray ,sec,15,m2
406,Saint Albray ,sec,16,m2
407,Saint Albray ,sec,17,m2
408,Saint Albray ,sec,18,m2
409,Saint Albray ,sec,19,m2
410,Saint Albray ,sec,20,m2
411,Saint Albray ,sec,21,m2
412,Saint Albray ,sec,22,m2
413,Saint Albray ,sec,23,m2
414,Saint Albray ,sec,24,m2
415,Saint Albray ,sec,25,m2
416,Saint Albray ,sec,26,m2
417,Saint Albray ,sec,27,m2
418,Saint Albray ,sec,28,m2
419,Saint Albray ,sec,29,m2
420,Saint Albray ,sec,0,m
421,Saint Albray ,sec,1,m
422,Saint Albray ,sec,2,m
423,Saint Albray ,sec,3,m
424,Saint Albray ,sec,4,m
425,Saint Albray ,sec,5,m
426,Saint Albray ,sec,6,m
427,Saint Albray ,sec,7,m
428,Saint Albray ,sec,8,m
429,Saint Albray ,sec,9,m
430,Saint Albray ,sec,10,m
431,Saint Albray ,sec,11,m
432,Saint Albray ,sec,12,m
433,Saint Albray ,sec,13,m
434,Saint Albray ,sec,14,m
435,Saint Albray ,sec,15,m
436,Saint Albray ,sec,16,m
437,Saint Albray ,sec,17,m
438,Saint Albray ,sec,18,m
439,Saint Albray ,sec,19,m
440,Saint Albray ,sec,20,m
441,Saint Albray ,sec,21,m
442,Saint Albray ,sec,22,m
443,Saint Albray ,sec,23,m
444,Saint Albray ,sec,24,m
445,Saint Albray ,sec,25,m
446,Saint Albray ,sec,26,m
447,Saint Albray ,sec,27,m
448,Saint Albray ,sec,28,m
449,Saint Albray ,sec,29,m
450,Saint Albray ,perissable,0,kg
451,Saint Albray ,perissable,1,kg
452,Saint Albray ,perissable,2,kg
453,Saint Albray ,perissable,3,kg
454,Saint Albray ,perissable,4,kg
455,Saint Albray ,perissable,5,kg
456,Saint Albray ,perissable,6,kg
457,Saint Albray ,perissable,7,kg
458,Saint Albray ,perissable,8,kg
459,Saint Albray ,perissable,9,kg
460,Saint Albray ,perissable,10,kg
461,Saint Albray ,perissable,11,kg
462,Saint Albray ,perissable,12,kg
463,Saint Albray ,perissable,13,kg
464,Saint Albray ,perissable,14,kg
465,Saint Albray ,perissable,15,kg
466,Saint Albray ,perissable,16,kg
467,Saint Albray ,perissable,17,kg
468,Saint Albray ,perissable,18,kg
469,Saint Albray ,perissable,19,kg
470,Saint Albray ,perissable,20,kg
471,Saint Albray ,perissable,21,kg
472,Saint Albray ,perissable,22,kg
473,Saint Albray ,perissable,23,kg
474,Saint Albray ,perissable,24,kg
475,Saint Albray ,perissable,25,kg
476,Saint Albray ,perissable,26,kg
477,Saint Albray ,perissable,27,kg
478,Saint Albray ,perissable,28,kg
479,Saint Albray ,perissable,29,kg
480,Saint Albray ,perissable,0,m3
481,Saint Albray ,perissable,1,m3
482,Saint Albray ,perissable,2,m3
483,Saint Albray ,perissable,3,m3
484,Saint Albray ,perissable,4,m3
485,Saint Albray ,perissable,5,m3
486,Saint Albray ,perissable,6,m3
487,Saint Albray ,perissable,7,m3
488,Saint Albray ,perissable,8,m3
489,Saint Albray ,perissable,9,m3
490,Saint Albray ,perissable,10,m3
491,Saint Albray ,perissable,11,m3
492,Saint Albray ,perissable,12,m3
493,Saint Albray ,perissable,13,m3
494,Saint Albray ,perissable,14,m3
495,Saint Albray ,perissable,15,m3
496,Saint Albray ,perissable,16,m3
497,Saint Albray ,perissable,17,m3
498,Saint Albray ,perissable,18,m3
499,Saint Albray ,perissable,19,m3
500,Saint Albray ,perissable,20,m3
501,Saint Albray ,perissable,21,m3
502,Saint Albray ,perissable,22,m3
503,Saint Albray ,perissable,23,m3
504,Saint Albray ,perissable,24,m3
505,Saint Albray ,perissable,25,m3
506,Saint Albray ,perissable,26,m3
507,Saint Albray ,perissable,27,m3
508,Saint Albray ,perissable,28,m3
509,Saint Albray ,perissable,29,m3
510,Saint Albray ,perissable,0,l
511,Saint Albray ,perissable,1,l
512,Saint Albray ,perissable,2,l
513,Saint Albray ,perissable,3,l
514,Saint Albray ,perissable,4,l
515,Saint Albray ,perissable,5,l
516,Saint Albray ,perissable,6,l
517,Saint Albray ,perissable,7,l
518,Saint Albray ,perissable,8,l
519,Saint Albray ,perissable,9,l
520,Saint Albray ,perissable,10,l
521,Saint Albray ,perissable,11,l
522,Saint Albray ,perissable,12,l
523,Saint Albray ,perissable,13,l
524,Saint Albray ,perissable,14,l
525,Saint Albray ,perissable,15,l
526,Saint Albray ,perissable,16,l
527,Saint Albray ,perissable,17,l
528,Saint Albray ,perissable,18,l
529,Saint Albray ,perissable,19,l
530,Saint Albray ,perissable,20,l
531,Saint Albray ,perissable,21,l
532,Saint Albray ,perissable,22,l
533,Saint Albray ,perissable,23,l
534,Saint Albray ,perissable,24,l
535,Saint Albray ,perissable,25,l
536,Saint Albray ,perissable,26,l
537,Saint Albray ,perissable,27,l
538,Saint Albray ,perissable,28,l
539,Saint Albray ,perissable,29,l
540,Saint Albray ,perissable,0,m2
541,Saint Albray ,perissable,1,m2
542,Saint Albray ,perissable,2,m2
543,Saint Albray ,perissable,3,m2
544,Saint Albray ,perissable,4,m2
545,Saint Albray ,perissable,5,m2
546,Saint Albray ,perissable,6,m2
547,Saint Albray ,perissable,7,m2
548,Saint Albray ,perissable,8,m2
549,Saint Albray ,perissable,9,m2
550,Saint Albray ,perissable,10,m2
551,Saint Albray ,perissable,11,m2
552,Saint Albray ,perissable,12,m2
553,Saint Albray ,perissable,13,m2
554,Saint Albray ,perissable,14,m2
555,Saint Albray ,perissable,15,m2
556,Saint Albray ,perissable,16,m2
557,Saint Albray ,perissable,17,m2
558,Saint Albray ,perissable,18,m2
559,Saint Albray ,perissable,19,m2
560,Saint Albray ,perissable,20,m2
561,Saint Albray ,perissable,21,m2
562,Saint Albray ,perissable,22,m2
563,Saint Albray ,perissable,23,m2
564,Saint Albray ,perissable,24,m2
565,Saint Albray ,perissable,25,m2
566,Saint Albray ,perissable,26,m2
567,Saint Albray ,perissable,27,m2
568,Saint Albray ,perissable,28,m2
569,Saint Albray ,perissable,29,m2
570,Saint Albray ,perissable,0,m
571,Saint Albray ,perissable,1,m
572,Saint Albray ,perissable,2,m
573,Saint Albray ,perissable,3,m
574,Saint Albray ,perissable,4,m
575,Saint Albray ,perissable,5,m
576,Saint Albray ,perissable,6,m
577,Saint Albray ,perissable,7,m
578,Saint Albray ,perissable,8,m
579,Saint Albray ,perissable,9,m
580,Saint Albray ,perissable,10,m
581,Saint Albray ,perissable,11,m
582,Saint Albray ,perissable,12,m
583,Saint Albray ,perissable,13,m
584,Saint Albray ,perissable,14,m
585,Saint Albray ,perissable,15,m
586,Saint Albray ,perissable,16,m
587,Saint Albray ,perissable,17,m
588,Saint Albray ,perissable,18,m
589,Saint Albray ,perissable,19,m
590,Saint Albray ,perissable,20,m
591,Saint Albray ,perissable,21,m
592,Saint Albray ,perissable,22,m
593,Saint Albray ,perissable,23,m
594,Saint Albray ,perissable,24,m
595,Saint Albray ,perissable,25,m
596,Saint Albray ,perissable,26,m
597,Saint Albray ,perissable,27,m
598,Saint Albray ,perissable,28,m
599,Saint Albray ,perissable,29,m
600,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,0,kg
601,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,1,kg
602,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,2,kg
603,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,3,kg
604,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,4,kg
605,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,5,kg
606,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,6,kg
607,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,7,kg
608,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,8,kg
609,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,9,kg
610,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,10,kg
611,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,11,kg
612,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,12,kg
613,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,13,kg
614,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,14,kg
615,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,15,kg
616,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,16,kg
617,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,17,kg
618,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,18,kg
619,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,19,kg
620,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,20,kg
621,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,21,kg
622,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,22,kg
623,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,23,kg
624,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,24,kg
625,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,25,kg
626,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,26,kg
627,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,27,kg
628,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,28,kg
629,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,29,kg
630,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,0,m3
631,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,1,m3
632,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,2,m3
633,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,3,m3
634,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,4,m3
635,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,5,m3
636,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,6,m3
637,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,7,m3
638,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,8,m3
639,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,9,m3
640,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,10,m3
641,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,11,m3
642,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,12,m3
643,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,13,m3
644,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,14,m3
645,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,15,m3
646,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,16,m3
647,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,17,m3
648,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,18,m3
649,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,19,m3
650,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,20,m3
651,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,21,m3
652,Truite fumee au bois de hetre (6 tranches) - 150 g,sec,22,m3
